carrier,awb,order_id,delivery_date,cod_amount,remittance_due_date,status,priority,email_subject,email_body,cod_amount_source
Carrier B,AWB6589604930,111114975963,2026-01-04,1198,2026-01-06,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB6589604930 — COD ₹1,198 — Carrier B","Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹1,198 is due by 2026-01-06 00:00:00.

AWB: AWB6589604930
Order ID: 111114975963
Delivery Date: 2026-01-04
Destination: Gautam Buddha Nagar
COD Amount: ₹1,198

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB3711253948,110414887922,2026-01-04,669,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB3711253948 — COD ₹669 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹669 is due by 2026-01-06 00:00:00.

AWB: AWB3711253948
Order ID: 110414887922
Delivery Date: 2026-01-04
Destination: Mumbai
COD Amount: ₹669

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB5877602679,110914954129,2026-01-04,950,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5877602679 — COD ₹950 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹950 is due by 2026-01-06 00:00:00.

AWB: AWB5877602679
Order ID: 110914954129
Delivery Date: 2026-01-04
Destination: Tumkur
COD Amount: ₹950

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB3909169539,110414897502,2026-01-04,660,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB3909169539 — COD ₹660 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹660 is due by 2026-01-06 00:00:00.

AWB: AWB3909169539
Order ID: 110414897502
Delivery Date: 2026-01-04
Destination: Moradabad
COD Amount: ₹660

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB1625989050,111014971427,2026-01-04,1031,2026-01-06,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB1625989050 — COD ₹1,031 — Carrier C","Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹1,031 is due by 2026-01-06 00:00:00.

AWB: AWB1625989050
Order ID: 111014971427
Delivery Date: 2026-01-04
Destination: Hyderabad
COD Amount: ₹1,031

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB1594817196,110914952110,2026-01-04,830,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB1594817196 — COD ₹830 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹830 is due by 2026-01-06 00:00:00.

AWB: AWB1594817196
Order ID: 110914952110
Delivery Date: 2026-01-04
Destination: Raipur
COD Amount: ₹830

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB7048997460,111114975960,2026-01-04,603,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB7048997460 — COD ₹603 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹603 is due by 2026-01-06 00:00:00.

AWB: AWB7048997460
Order ID: 111114975960
Delivery Date: 2026-01-04
Destination: Pune
COD Amount: ₹603

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB6621403319,110814939599,2026-01-04,399,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB6621403319 — COD ₹399 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹399 is due by 2026-01-06 00:00:00.

AWB: AWB6621403319
Order ID: 110814939599
Delivery Date: 2026-01-04
Destination: Hoshiarpur
COD Amount: ₹399

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB2400214800,111114983022,2026-01-05,839,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB2400214800 — COD ₹839 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹839 is due by 2026-01-07 00:00:00.

AWB: AWB2400214800
Order ID: 111114983022
Delivery Date: 2026-01-05
Destination: New Delhi
COD Amount: ₹839

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB5642901572,111014969453,2026-01-05,1049,2026-01-07,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB5642901572 — COD ₹1,049 — Carrier B","Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹1,049 is due by 2026-01-07 00:00:00.

AWB: AWB5642901572
Order ID: 111014969453
Delivery Date: 2026-01-05
Destination: Ghaziabad
COD Amount: ₹1,049

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB2340112464,110714926718,2026-01-05,661,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB2340112464 — COD ₹661 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹661 is due by 2026-01-07 00:00:00.

AWB: AWB2340112464
Order ID: 110714926718
Delivery Date: 2026-01-05
Destination: Thane
COD Amount: ₹661

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB9902737920,110914951600,2026-01-05,1144,2026-01-07,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB9902737920 — COD ₹1,144 — Carrier D","Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹1,144 is due by 2026-01-07 00:00:00.

AWB: AWB9902737920
Order ID: 110914951600
Delivery Date: 2026-01-05
Destination: Jaipur
COD Amount: ₹1,144

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB3139341704,110914958131,2026-01-05,648,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB3139341704 — COD ₹648 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹648 is due by 2026-01-07 00:00:00.

AWB: AWB3139341704
Order ID: 110914958131
Delivery Date: 2026-01-05
Destination: Thrissur
COD Amount: ₹648

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB8176791149,92614724584,2026-01-05,1029,2026-01-07,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB8176791149 — COD ₹1,029 — Carrier A","Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹1,029 is due by 2026-01-07 00:00:00.

AWB: AWB8176791149
Order ID: 92614724584
Delivery Date: 2026-01-05
Destination: West Siang
COD Amount: ₹1,029

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB4468640184,111114981104,2026-01-05,699,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB4468640184 — COD ₹699 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹699 is due by 2026-01-07 00:00:00.

AWB: AWB4468640184
Order ID: 111114981104
Delivery Date: 2026-01-05
Destination: Central Delhi
COD Amount: ₹699

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB5883648992,110814936984,2026-01-05,499,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5883648992 — COD ₹499 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹499 is due by 2026-01-07 00:00:00.

AWB: AWB5883648992
Order ID: 110814936984
Delivery Date: 2026-01-05
Destination: Dakshina Kannada
COD Amount: ₹499

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB2350996821,110914953399,2026-01-05,465,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB2350996821 — COD ₹465 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹465 is due by 2026-01-07 00:00:00.

AWB: AWB2350996821
Order ID: 110914953399
Delivery Date: 2026-01-05
Destination: Raigarh(MH)
COD Amount: ₹465

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB9052078334,110114853755,2026-01-05,482,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB9052078334 — COD ₹482 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹482 is due by 2026-01-07 00:00:00.

AWB: AWB9052078334
Order ID: 110114853755
Delivery Date: 2026-01-05
Destination: K.V.Rangareddy
COD Amount: ₹482

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB8757636991,101714687926,2026-01-05,749,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB8757636991 — COD ₹749 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹749 is due by 2026-01-07 00:00:00.

AWB: AWB8757636991
Order ID: 101714687926
Delivery Date: 2026-01-05
Destination: Mandsaur
COD Amount: ₹749

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB6558406106,111114976389,2026-01-05,249,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB6558406106 — COD ₹249 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹249 is due by 2026-01-07 00:00:00.

AWB: AWB6558406106
Order ID: 111114976389
Delivery Date: 2026-01-05
Destination: Gautam Buddha Nagar
COD Amount: ₹249

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB5971455538,110814945059,2026-01-05,636,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5971455538 — COD ₹636 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹636 is due by 2026-01-07 00:00:00.

AWB: AWB5971455538
Order ID: 110814945059
Delivery Date: 2026-01-05
Destination: Thiruvananthapuram
COD Amount: ₹636

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB6068232687,110714935355,2026-01-05,836,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB6068232687 — COD ₹836 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹836 is due by 2026-01-07 00:00:00.

AWB: AWB6068232687
Order ID: 110714935355
Delivery Date: 2026-01-05
Destination: Ghaziabad
COD Amount: ₹836

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB7341851678,111214990353,2026-01-05,559,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB7341851678 — COD ₹559 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹559 is due by 2026-01-07 00:00:00.

AWB: AWB7341851678
Order ID: 111214990353
Delivery Date: 2026-01-05
Destination: Pune
COD Amount: ₹559

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB0579817537,110914958277,2026-01-05,435,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB0579817537 — COD ₹435 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹435 is due by 2026-01-07 00:00:00.

AWB: AWB0579817537
Order ID: 110914958277
Delivery Date: 2026-01-05
Destination: Agra
COD Amount: ₹435

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB8584798187,102914824700,2026-01-05,834,2026-01-07,Overdue,P1 - Urgent,[Remittance Due] AWB AWB8584798187 — COD ₹834 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-05. Per the 2-day remittance SLA, payment of ₹834 is due by 2026-01-07 00:00:00.

AWB: AWB8584798187
Order ID: 102914824700
Delivery Date: 2026-01-05
Destination: Howrah
COD Amount: ₹834

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB7788632110,110914961162,2026-01-06,587,2026-01-08,Overdue,P1 - Urgent,[Remittance Due] AWB AWB7788632110 — COD ₹587 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-06. Per the 2-day remittance SLA, payment of ₹587 is due by 2026-01-08 00:00:00.

AWB: AWB7788632110
Order ID: 110914961162
Delivery Date: 2026-01-06
Destination: Bangalore
COD Amount: ₹587

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
