shipment_id,awb,order_id,carrier,lane_class,ndr_reason,ndr_category,attempt_number,customer_action_required,recommended_action,reattempt_success_probability,priority,deadline,ai_confidence,status,recommended_channel,also_whatsapp,channel_rationale
0A3A703939,AWB7141863622,110714933585,Carrier A,National,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
F21D79868B,AWB5620194123,110814937226,Carrier B,National,Landmark missing,Address Issue,0,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 936h (>= 36h).
B9B550470E,AWB9023672846,111014961667,Carrier A,Metro,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
F5DA4553B8,AWB6935981870,110814948461,Carrier D,National,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
D67422753A,AWB8228448001,110914953098,Carrier B,Local,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
16E59F6581,AWB2400836038,110614920945,Carrier C,National,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
5EC76A379D,AWB6789258310,110314880577,Carrier D,National,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
423EC74DE2,AWB8185435538,110214875664,Carrier D,National,Landmark missing,Address Issue,0,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 168h (>= 36h).
AFBB31FB52,AWB5956236445,111114976066,Carrier C,National,Phone not reachable,Contact Issue,0,Yes,Send SMS/WhatsApp with reattempt slot; try alternate number,0.503,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=161)",Open,Manual Agent Call,False,Escalated to manual agent call — aged 1392h (>= 36h).
333E574912,AWB0937425335,111114976682,Carrier C,National,Phone not reachable,Contact Issue,1,Yes,Send SMS/WhatsApp with reattempt slot; try alternate number,0.503,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=161)",Open,Email,False,Phone unreachable (Phone not reachable) — email is the documentation/backup channel.
B0087C4ECE,AWB7546295233,110814941285,Carrier A,National,Phone not reachable,Contact Issue,1,Yes,Send SMS/WhatsApp with reattempt slot; try alternate number,0.503,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=161)",Open,Email,False,Phone unreachable (Phone not reachable) — email is the documentation/backup channel.
C861FA17CD,AWB3721046183,110814938370,Carrier B,National,Phone not reachable,Contact Issue,1,Yes,Send SMS/WhatsApp with reattempt slot; try alternate number,0.503,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=161)",Open,Email,False,Phone unreachable (Phone not reachable) — email is the documentation/backup channel.
C9CCD90DC8,AWB7387097224,110714925159,Carrier A,Local,Phone not reachable,Contact Issue,0,Yes,Send SMS/WhatsApp with reattempt slot; try alternate number,0.503,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=161)",Open,Manual Agent Call,False,Escalated to manual agent call — aged 168h (>= 36h).
9087D44CEB,AWB6894977557,111214991287,Carrier D,Local,Customer not available,Customer Availability,1,Yes,Offer delivery-slot rescheduling (customer picks a window),0.566,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=113)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
6C27151A61,AWB5519686422,110914960927,Carrier D,National,Customer not available,Customer Availability,0,Yes,Offer delivery-slot rescheduling (customer picks a window),0.566,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=113)",Open,Manual Agent Call,False,Escalated to manual agent call — aged 936h (>= 36h).
0E38C6919F,AWB4715303007,110914955262,Carrier D,National,Customer not available,Customer Availability,1,Yes,Offer delivery-slot rescheduling (customer picks a window),0.566,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=113)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
7C0461A6B7,AWB4417426131,110414898352,Carrier A,National,Customer not available,Customer Availability,1,Yes,Offer delivery-slot rescheduling (customer picks a window),0.566,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=113)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
B6A483289C,AWB7580581563,110514906834,Carrier D,National,Landmark missing,Address Issue,2,No,Send landmark-capture link; call customer for directions,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
CF63240F6F,AWB2843583327,110114863550,Carrier A,National,Customer requested re-attempt,Customer Availability,2,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
AC8F5F8006,AWB2641252229,111114976956,Carrier A,National,Delivery postponed by customer,Customer Availability,0,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,Manual Agent Call,False,Escalated to manual agent call — aged 1248h (>= 36h).
CAAF292DE0,AWB5625166410,111014961828,Carrier D,National,Phone not reachable,Contact Issue,2,No,Send SMS/WhatsApp with reattempt slot; try alternate number,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=81)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
F3C108D556,AWB0277783507,103114842046,Carrier B,National,Customer requested re-attempt,Customer Availability,1,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
2CFE9B9066,AWB0573455820,100714543882,Carrier D,National,Customer requested re-attempt,Customer Availability,1,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
6BF50AA0F4,AWB9201484974,110314876351,Carrier B,Metro,Delivery postponed by customer,Customer Availability,0,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,Manual Agent Call,False,Escalated to manual agent call — aged 1008h (>= 36h).
A78BF643D2,AWB5717109161,111214985692,Carrier C,Local,Phone not reachable,Contact Issue,2,No,Send SMS/WhatsApp with reattempt slot; try alternate number,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=81)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
6BAC439549,AWB7452165702,111114980708,Carrier D,National,Delivery postponed by customer,Customer Availability,1,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
20829CDBA4,AWB3072864852,102914826751,Carrier C,National,Delivery postponed by customer,Customer Availability,1,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
E395DB08F0,AWB5881106276,110914957203,Carrier A,National,Phone not reachable,Contact Issue,2,No,Send SMS/WhatsApp with reattempt slot; try alternate number,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=81)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
A4FD498C8A,AWB8245486139,110514909354,Carrier C,National,Phone not reachable,Contact Issue,2,No,Send SMS/WhatsApp with reattempt slot; try alternate number,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=81)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
1A6E0D7A9A,AWB7050743860,110914959035,Carrier D,Metro,Customer requested re-attempt,Customer Availability,0,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 936h (>= 36h).
E14F96347C,AWB0176014761,101514662134,Carrier C,National,Phone not reachable,Contact Issue,2,No,Send SMS/WhatsApp with reattempt slot; try alternate number,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=81)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
DADB1CC178,AWB9380978674,110914953668,Carrier B,Regional,Landmark missing,Address Issue,2,No,Send landmark-capture link; call customer for directions,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
A50389CF3D,AWB1351180474,110814948745,Carrier B,Regional,Delivery postponed by customer,Customer Availability,2,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=67)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
A165A74496,AWB8096733662,110814944704,Carrier A,Metro,Customer requested re-attempt,Customer Availability,2,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
D50618AC70,AWB5158057494,110814937680,Carrier D,National,Customer requested re-attempt,Customer Availability,1,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
8748E5DFE5,AWB3924001288,110814947369,Carrier B,Regional,Customer requested re-attempt,Customer Availability,1,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
52DAF3AAFE,AWB3745669029,110614916620,Carrier D,National,Delivery postponed by customer,Customer Availability,2,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=67)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
43C42C72C1,AWB4275005241,110914955789,Carrier A,Metro,Delivery postponed by customer,Customer Availability,1,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
33F7B75114,AWB8589206358,102514791707,Carrier C,National,Customer requested re-attempt,Customer Availability,2,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
6A586AEF58,AWB3457524407,110914955924,Carrier A,Metro,Phone not reachable,Contact Issue,2,No,Send SMS/WhatsApp with reattempt slot; try alternate number,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=81)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
B24D8B9252,AWB5233607038,110514902987,Carrier D,National,Address issue,Address Issue,2,No,Request updated address / landmark from customer,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=64)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
FF021F1E0D,AWB5528583535,110414888129,Carrier C,Metro,Delivery postponed by customer,Customer Availability,1,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
20C36326DD,AWB6140677936,103114849255,Carrier B,Regional,Customer requested re-attempt,Customer Availability,1,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
7941E959DE,AWB5467505769,110114857418,Carrier C,National,Address issue,Address Issue,2,No,Request updated address / landmark from customer,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=64)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
EDDE361027,AWB7788594214,110414887801,Carrier D,National,Customer requested re-attempt,Customer Availability,1,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
A7D60E9A81,AWB9460238042,102814816779,Carrier D,National,Delivery postponed by customer,Customer Availability,1,No,Confirm new delivery date; hold shipment at hub,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=67)",Open,IVR,False,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost)."
E88A26FD90,AWB0915609049,102114736549,Carrier C,Regional,Customer requested re-attempt,Customer Availability,2,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
BB37531C4D,AWB7549259881,101814706084,Carrier B,National,Customer requested re-attempt,Customer Availability,0,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (reason-level fallback, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 144h (>= 36h).
CEC7BBF829,AWB5654230978,93014446581,Carrier D,National,Customer requested re-attempt,Customer Availability,2,No,Confirm requested reattempt date/slot with carrier,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
74A576B146,AWB8014979049,101114609035,Carrier B,National,Customer not available,Customer Availability,2,No,Offer delivery-slot rescheduling (customer picks a window),1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=64)",Open,Manual Agent Call,False,Escalated to manual agent call — attempt #2 (repeat failure).
3854AF0721,AWB3936732742,101214617021,Carrier B,National,Landmark missing,Address Issue,2,No,Send landmark-capture link; call customer for directions,1.0,P3 - Standard,2026-03-07 00:00,"AI_PREDICTED (empirical, n=62)",Open,Manual Agent Call,True,Escalated to manual agent call — attempt #2 (repeat failure).
