shipment_id,awb,order_id,carrier,lane_class,customer_city,current_status,edd,days_to_edd,edd_already_breached,edd_risk_score,risk_tier,attempt_number,alert_priority,care_team_update,push_notification_title,push_notification_body,recommended_action,data_confidence
859434B4AD,AWB1618803466,111114975402,Carrier D,Metro,Ahmedabad,Out of delivery,2026-01-07,-57,True,46.1,Medium,1,P1 - Urgent,"AWB AWB1618803466 (Ahmedabad, Metro lane) has PASSED its promised EDD (2026-01-07) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114975402 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
CF63240F6F,AWB2843583327,110114863550,Carrier A,National,Kullu,Out of delivery,2026-01-08,-56,True,43.8,Medium,2,P1 - Urgent,"AWB AWB2843583327 (Kullu, National lane) has PASSED its promised EDD (2026-01-08) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110114863550 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
290E0E249D,AWB6591670545,110814938954,Carrier D,National,Ranchi,In-Transit,2026-01-09,-55,True,56.7,Medium,0,P1 - Urgent,"AWB AWB6591670545 (Ranchi, National lane) has PASSED its promised EDD (2026-01-09) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814938954 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
73B33125A4,AWB7111316078,110714936239,Carrier B,National,jodhpur,In-Transit,2026-01-10,-54,True,58.2,Medium,0,P1 - Urgent,"AWB AWB7111316078 (jodhpur, National lane) has PASSED its promised EDD (2026-01-10) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110714936239 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
25382B6D16,AWB1861497372,110914952324,Carrier A,Regional,Ratlam,In-Transit,2026-01-11,-53,True,55.4,Medium,0,P1 - Urgent,"AWB AWB1861497372 (Ratlam, Regional lane) has PASSED its promised EDD (2026-01-11) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110914952324 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
899D2419BB,AWB0515568904,110414891252,Carrier B,National,Tumkur,Out of delivery,2026-01-11,-53,True,61.4,High,1,P1 - Urgent,"AWB AWB0515568904 (Tumkur, National lane) has PASSED its promised EDD (2026-01-11) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110414891252 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
960CF0B0B3,AWB5823018524,110714927605,Carrier B,National,Lucknow,In-Transit,2026-01-12,-52,True,64.1,High,0,P1 - Urgent,"AWB AWB5823018524 (Lucknow, National lane) has PASSED its promised EDD (2026-01-12) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110714927605 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
AC8F5F8006,AWB2641252229,111114976956,Carrier A,National,Amritsar,In-Transit,2026-01-12,-52,True,59.7,Medium,0,P1 - Urgent,"AWB AWB2641252229 (Amritsar, National lane) has PASSED its promised EDD (2026-01-12) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114976956 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
CAAF292DE0,AWB5625166410,111014961828,Carrier D,National,Dakshina Kannada,Out of delivery,2026-01-12,-52,True,58.3,Medium,2,P1 - Urgent,"AWB AWB5625166410 (Dakshina Kannada, National lane) has PASSED its promised EDD (2026-01-12) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111014961828 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
B0087C4ECE,AWB7546295233,110814941285,Carrier A,National,Daman,Out of delivery,2026-01-12,-52,True,56.0,Medium,1,P1 - Urgent,"AWB AWB7546295233 (Daman, National lane) has PASSED its promised EDD (2026-01-12) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814941285 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
2CA2EDF283,AWB0364512370,111014966921,Carrier D,National,Lucknow,Pickup done,2026-01-13,-51,True,51.4,Medium,0,P1 - Urgent,"AWB AWB0364512370 (Lucknow, National lane) has PASSED its promised EDD (2026-01-13) and is still showing 'Pickup done'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111014966921 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
2254A83ECA,AWB4081481399,110814944456,Carrier B,National,Patiala,Order Packed,2026-01-13,-51,True,54.5,Medium,0,P1 - Urgent,"AWB AWB4081481399 (Patiala, National lane) has PASSED its promised EDD (2026-01-13) and is still showing 'Order Packed'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814944456 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
F3C108D556,AWB0277783507,103114842046,Carrier B,National,East Delhi,Out of delivery,2026-01-13,-51,True,40.6,Medium,1,P1 - Urgent,"AWB AWB0277783507 (East Delhi, National lane) has PASSED its promised EDD (2026-01-13) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #103114842046 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
C696EE67CF,AWB7406887171,111214991601,Carrier C,Local,Mumbai,In-Transit,2026-01-14,-50,True,54.0,Medium,0,P1 - Urgent,"AWB AWB7406887171 (Mumbai, Local lane) has PASSED its promised EDD (2026-01-14) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111214991601 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
5575BDE762,AWB4371161116,111214985219,Carrier D,Metro,Pune,In-Transit,2026-01-14,-50,True,55.9,Medium,0,P1 - Urgent,"AWB AWB4371161116 (Pune, Metro lane) has PASSED its promised EDD (2026-01-14) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111214985219 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
71DB202580,AWB5894429778,111114984106,Carrier B,National,Alwar,Order Packed,2026-01-14,-50,True,61.6,High,0,P1 - Urgent,"AWB AWB5894429778 (Alwar, National lane) has PASSED its promised EDD (2026-01-14) and is still showing 'Order Packed'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114984106 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
E131297B58,AWB1121906502,111114973816,Carrier C,Metro,Hyderabad,In-Transit,2026-01-14,-50,True,73.2,High,0,P1 - Urgent,"AWB AWB1121906502 (Hyderabad, Metro lane) has PASSED its promised EDD (2026-01-14) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114973816 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
42920E1516,AWB1464789862,111114981630,Carrier C,Metro,Bangalore,In-Transit,2026-01-14,-50,True,66.4,High,0,P1 - Urgent,"AWB AWB1464789862 (Bangalore, Metro lane) has PASSED its promised EDD (2026-01-14) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114981630 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
55313E820F,AWB7955148734,111114978954,Carrier C,Metro,New Delhi,In-Transit,2026-01-15,-49,True,64.6,High,0,P1 - Urgent,"AWB AWB7955148734 (New Delhi, Metro lane) has PASSED its promised EDD (2026-01-15) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114978954 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
2A7B1A3661,AWB0588874415,110914951741,Carrier D,National,Morbi,In-Transit,2026-01-15,-49,True,58.1,Medium,0,P1 - Urgent,"AWB AWB0588874415 (Morbi, National lane) has PASSED its promised EDD (2026-01-15) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110914951741 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
52F7F5E8CC,AWB0552317185,110914953721,Carrier D,National,Karbi Anglong,In-Transit,2026-01-15,-49,True,61.5,High,0,P1 - Urgent,"AWB AWB0552317185 (Karbi Anglong, National lane) has PASSED its promised EDD (2026-01-15) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110914953721 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
2C4C9906CB,AWB4796329640,101514657017,Carrier D,National,Ludhiana,In-Transit,2026-01-16,-48,True,60.0,High,0,P1 - Urgent,"AWB AWB4796329640 (Ludhiana, National lane) has PASSED its promised EDD (2026-01-16) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #101514657017 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
E7054815AB,AWB2393568624,110814948833,Carrier A,National,Gaya,Out of delivery,2026-01-16,-48,True,50.5,Medium,1,P1 - Urgent,"AWB AWB2393568624 (Gaya, National lane) has PASSED its promised EDD (2026-01-16) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814948833 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
613B3D65FA,AWB3350253098,110614915198,Carrier C,Metro,Gautam Buddha Nagar,In-Transit,2026-01-18,-46,True,70.1,High,0,P1 - Urgent,"AWB AWB3350253098 (Gautam Buddha Nagar, Metro lane) has PASSED its promised EDD (2026-01-18) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110614915198 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
73A274B0BC,AWB2467911406,110814939973,Carrier D,National,Patna,Order Packed,2026-01-18,-46,True,71.7,High,0,P1 - Urgent,"AWB AWB2467911406 (Patna, National lane) has PASSED its promised EDD (2026-01-18) and is still showing 'Order Packed'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814939973 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
A78BF643D2,AWB5717109161,111214985692,Carrier C,Local,Mumbai,Out of delivery,2026-01-18,-46,True,40.3,Medium,2,P1 - Urgent,"AWB AWB5717109161 (Mumbai, Local lane) has PASSED its promised EDD (2026-01-18) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111214985692 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
6BAC439549,AWB7452165702,111114980708,Carrier D,National,East Delhi,Out of delivery,2026-01-18,-46,True,57.6,Medium,1,P1 - Urgent,"AWB AWB7452165702 (East Delhi, National lane) has PASSED its promised EDD (2026-01-18) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114980708 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
FC21ECE517,AWB2701343505,110814945017,Carrier C,Regional,Chinchwad,Order Packed,2026-01-19,-45,True,40.4,Medium,0,P1 - Urgent,"AWB AWB2701343505 (Chinchwad, Regional lane) has PASSED its promised EDD (2026-01-19) and is still showing 'Order Packed'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814945017 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
868FA1A83D,AWB8470624119,110714927450,Carrier A,National,Kota,In-Transit,2026-01-19,-45,True,53.7,Medium,0,P1 - Urgent,"AWB AWB8470624119 (Kota, National lane) has PASSED its promised EDD (2026-01-19) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110714927450 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
C38E599FD9,AWB2095365767,110714932162,Carrier A,Regional,Nashik,In-Transit,2026-01-20,-44,True,46.7,Medium,0,P1 - Urgent,"AWB AWB2095365767 (Nashik, Regional lane) has PASSED its promised EDD (2026-01-20) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110714932162 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
2CFE9B9066,AWB0573455820,100714543882,Carrier D,National,East Khasi Hills,Out of delivery,2026-01-20,-44,True,61.5,High,1,P1 - Urgent,"AWB AWB0573455820 (East Khasi Hills, National lane) has PASSED its promised EDD (2026-01-20) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #100714543882 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
37718F2E76,AWB6145051553,110914960838,Carrier A,National,Ajmer,Pickup done,2026-01-20,-44,True,49.9,Medium,0,P1 - Urgent,"AWB AWB6145051553 (Ajmer, National lane) has PASSED its promised EDD (2026-01-20) and is still showing 'Pickup done'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110914960838 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
0A3A703939,AWB7141863622,110714933585,Carrier A,National,Jammu,Out of delivery,2026-01-20,-44,True,43.1,Medium,1,P1 - Urgent,"AWB AWB7141863622 (Jammu, National lane) has PASSED its promised EDD (2026-01-20) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110714933585 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
20829CDBA4,AWB3072864852,102914826751,Carrier C,National,Medak,Out of delivery,2026-01-21,-43,True,46.6,Medium,1,P1 - Urgent,"AWB AWB3072864852 (Medak, National lane) has PASSED its promised EDD (2026-01-21) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #102914826751 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
98857F9EE0,AWB2750312338,110814948699,Carrier D,National,Una,In-Transit,2026-01-21,-43,True,60.3,High,0,P1 - Urgent,"AWB AWB2750312338 (Una, National lane) has PASSED its promised EDD (2026-01-21) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110814948699 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
642CED45EE,AWB8884540979,103114848172,Carrier B,National,West Delhi,In-Transit,2026-01-21,-43,True,60.6,High,0,P1 - Urgent,"AWB AWB8884540979 (West Delhi, National lane) has PASSED its promised EDD (2026-01-21) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #103114848172 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
7E7A2AE807,AWB0642556100,110614921202,Carrier D,Regional,Indore,In-Transit,2026-01-21,-43,True,62.4,High,0,P1 - Urgent,"AWB AWB0642556100 (Indore, Regional lane) has PASSED its promised EDD (2026-01-21) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110614921202 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
