shipment_id,awb,order_id,carrier,lane_class,customer_city,ndr_reason,ndr_category,attempt_number,priority,recommended_channel,also_whatsapp,info_needed,call_script,contact_lookup_key,contact_note
9087D44CEB,AWB6894977557,111214991287,Carrier D,Local,Mumbai,Customer not available,Customer Availability,1,P2 - High,IVR,False,Confirm the best delivery time window,"Hello, this is [Carrier] calling about your order 111214991287. We attempted delivery but couldn't complete it (customer not available). Confirm the best delivery time window so we can schedule the next attempt.",9087D44CEB,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
0E38C6919F,AWB4715303007,110914955262,Carrier D,National,Prakasam,Customer not available,Customer Availability,1,P2 - High,IVR,False,Confirm the best delivery time window,"Hello, this is [Carrier] calling about your order 110914955262. We attempted delivery but couldn't complete it (customer not available). Confirm the best delivery time window so we can schedule the next attempt.",0E38C6919F,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
7C0461A6B7,AWB4417426131,110414898352,Carrier A,National,Kasargod,Customer not available,Customer Availability,1,P2 - High,IVR,False,Confirm the best delivery time window,"Hello, this is [Carrier] calling about your order 110414898352. We attempted delivery but couldn't complete it (customer not available). Confirm the best delivery time window so we can schedule the next attempt.",7C0461A6B7,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
960CF0B0B3,AWB5823018524,110714927605,Carrier B,National,Lucknow,Address issue,Address Issue,0,P2 - High,Manual Agent Call,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 110714927605. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",960CF0B0B3,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
B5C5BAC24F,AWB1705795524,103114850082,Carrier B,Metro,Gurgaon,Address issue,Address Issue,0,P2 - High,Manual Agent Call,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 103114850082. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",B5C5BAC24F,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
98157A5528,AWB7061030440,111014972142,Carrier C,National,Mysore,Landmark missing,Address Issue,0,P2 - High,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 111014972142. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",98157A5528,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
52F7F5E8CC,AWB0552317185,110914953721,Carrier D,National,Karbi Anglong,Landmark missing,Address Issue,0,P2 - High,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110914953721. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",52F7F5E8CC,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
F21D79868B,AWB5620194123,110814937226,Carrier B,National,Jyotiba Phule Nagar,Landmark missing,Address Issue,0,P2 - High,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110814937226. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",F21D79868B,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
423EC74DE2,AWB8185435538,110214875664,Carrier D,National,Firozpur,Landmark missing,Address Issue,0,P2 - High,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110214875664. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",423EC74DE2,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
AFBB31FB52,AWB5956236445,111114976066,Carrier C,National,Patna,Phone not reachable,Contact Issue,0,P2 - High,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 111114976066. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",AFBB31FB52,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
C9CCD90DC8,AWB7387097224,110714925159,Carrier A,Local,Mumbai,Phone not reachable,Contact Issue,0,P2 - High,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 110714925159. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",C9CCD90DC8,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
6C27151A61,AWB5519686422,110914960927,Carrier D,National,Nalgonda,Customer not available,Customer Availability,0,P2 - High,Manual Agent Call,False,Confirm the best delivery time window,"Hello, this is [Carrier] calling about your order 110914960927. We attempted delivery but couldn't complete it (customer not available). Confirm the best delivery time window so we can schedule the next attempt.",6C27151A61,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
B6A483289C,AWB7580581563,110514906834,Carrier D,National,Erode,Landmark missing,Address Issue,2,P3 - Standard,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110514906834. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",B6A483289C,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
CF63240F6F,AWB2843583327,110114863550,Carrier A,National,Kullu,Customer requested re-attempt,Customer Availability,2,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 110114863550. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",CF63240F6F,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
CAAF292DE0,AWB5625166410,111014961828,Carrier D,National,Dakshina Kannada,Phone not reachable,Contact Issue,2,P3 - Standard,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 111014961828. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",CAAF292DE0,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
A78BF643D2,AWB5717109161,111214985692,Carrier C,Local,Mumbai,Phone not reachable,Contact Issue,2,P3 - Standard,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 111214985692. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",A78BF643D2,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
E395DB08F0,AWB5881106276,110914957203,Carrier A,National,Palakkad,Phone not reachable,Contact Issue,2,P3 - Standard,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 110914957203. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",E395DB08F0,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
A4FD498C8A,AWB8245486139,110514909354,Carrier C,National,Ernakulam,Phone not reachable,Contact Issue,2,P3 - Standard,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 110514909354. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",A4FD498C8A,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
E14F96347C,AWB0176014761,101514662134,Carrier C,National,Kachchh,Phone not reachable,Contact Issue,2,P3 - Standard,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 101514662134. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",E14F96347C,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
DADB1CC178,AWB9380978674,110914953668,Carrier B,Regional,Latur,Landmark missing,Address Issue,2,P3 - Standard,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110914953668. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",DADB1CC178,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
A50389CF3D,AWB1351180474,110814948745,Carrier B,Regional,Gwalior,Delivery postponed by customer,Customer Availability,2,P3 - Standard,Manual Agent Call,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 110814948745. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",A50389CF3D,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
A165A74496,AWB8096733662,110814944704,Carrier A,Metro,Pune,Customer requested re-attempt,Customer Availability,2,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 110814944704. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",A165A74496,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
52DAF3AAFE,AWB3745669029,110614916620,Carrier D,National,Darjiling,Delivery postponed by customer,Customer Availability,2,P3 - Standard,Manual Agent Call,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 110614916620. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",52DAF3AAFE,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
33F7B75114,AWB8589206358,102514791707,Carrier C,National,Surendra Nagar,Customer requested re-attempt,Customer Availability,2,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 102514791707. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",33F7B75114,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
6A586AEF58,AWB3457524407,110914955924,Carrier A,Metro,Bangalore,Phone not reachable,Contact Issue,2,P3 - Standard,Manual Agent Call,False,Request an alternate phone number,"Hello, this is [Carrier] calling about your order 110914955924. We attempted delivery but couldn't complete it (phone not reachable). Request an alternate phone number so we can schedule the next attempt.",6A586AEF58,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
B24D8B9252,AWB5233607038,110514902987,Carrier D,National,Dhanbad,Address issue,Address Issue,2,P3 - Standard,Manual Agent Call,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 110514902987. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",B24D8B9252,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
7941E959DE,AWB5467505769,110114857418,Carrier C,National,Jalandhar,Address issue,Address Issue,2,P3 - Standard,Manual Agent Call,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 110114857418. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",7941E959DE,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
E88A26FD90,AWB0915609049,102114736549,Carrier C,Regional,Mandla,Customer requested re-attempt,Customer Availability,2,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 102114736549. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",E88A26FD90,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
CEC7BBF829,AWB5654230978,93014446581,Carrier D,National,Prakasam,Customer requested re-attempt,Customer Availability,2,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 93014446581. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",CEC7BBF829,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
74A576B146,AWB8014979049,101114609035,Carrier B,National,Kalahandi,Customer not available,Customer Availability,2,P3 - Standard,Manual Agent Call,False,Confirm the best delivery time window,"Hello, this is [Carrier] calling about your order 101114609035. We attempted delivery but couldn't complete it (customer not available). Confirm the best delivery time window so we can schedule the next attempt.",74A576B146,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
3854AF0721,AWB3936732742,101214617021,Carrier B,National,Krishna,Landmark missing,Address Issue,2,P3 - Standard,Manual Agent Call,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 101214617021. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",3854AF0721,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
F3C108D556,AWB0277783507,103114842046,Carrier B,National,East Delhi,Customer requested re-attempt,Customer Availability,1,P3 - Standard,IVR,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 103114842046. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",F3C108D556,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
2CFE9B9066,AWB0573455820,100714543882,Carrier D,National,East Khasi Hills,Customer requested re-attempt,Customer Availability,1,P3 - Standard,IVR,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 100714543882. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",2CFE9B9066,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
6BAC439549,AWB7452165702,111114980708,Carrier D,National,East Delhi,Delivery postponed by customer,Customer Availability,1,P3 - Standard,IVR,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 111114980708. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",6BAC439549,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
20829CDBA4,AWB3072864852,102914826751,Carrier C,National,Medak,Delivery postponed by customer,Customer Availability,1,P3 - Standard,IVR,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 102914826751. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",20829CDBA4,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
D50618AC70,AWB5158057494,110814937680,Carrier D,National,North West Delhi,Customer requested re-attempt,Customer Availability,1,P3 - Standard,IVR,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 110814937680. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",D50618AC70,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
8748E5DFE5,AWB3924001288,110814947369,Carrier B,Regional,Latur,Customer requested re-attempt,Customer Availability,1,P3 - Standard,IVR,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 110814947369. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",8748E5DFE5,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
43C42C72C1,AWB4275005241,110914955789,Carrier A,Metro,Pune,Delivery postponed by customer,Customer Availability,1,P3 - Standard,IVR,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 110914955789. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",43C42C72C1,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
FF021F1E0D,AWB5528583535,110414888129,Carrier C,Metro,Bangalore,Delivery postponed by customer,Customer Availability,1,P3 - Standard,IVR,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 110414888129. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",FF021F1E0D,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
20C36326DD,AWB6140677936,103114849255,Carrier B,Regional,Damoh,Customer requested re-attempt,Customer Availability,1,P3 - Standard,IVR,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 103114849255. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",20C36326DD,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
EDDE361027,AWB7788594214,110414887801,Carrier D,National,Jorhat,Customer requested re-attempt,Customer Availability,1,P3 - Standard,IVR,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 110414887801. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",EDDE361027,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
A7D60E9A81,AWB9460238042,102814816779,Carrier D,National,West Godavari,Delivery postponed by customer,Customer Availability,1,P3 - Standard,IVR,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 102814816779. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",A7D60E9A81,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
AC8F5F8006,AWB2641252229,111114976956,Carrier A,National,Amritsar,Delivery postponed by customer,Customer Availability,0,P3 - Standard,Manual Agent Call,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 111114976956. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",AC8F5F8006,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
6BF50AA0F4,AWB9201484974,110314876351,Carrier B,Metro,Gurgaon,Delivery postponed by customer,Customer Availability,0,P3 - Standard,Manual Agent Call,False,Confirm the new delivery date,"Hello, this is [Carrier] calling about your order 110314876351. We attempted delivery but couldn't complete it (delivery postponed by customer). Confirm the new delivery date so we can schedule the next attempt.",6BF50AA0F4,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
1A6E0D7A9A,AWB7050743860,110914959035,Carrier D,Metro,Gurgaon,Customer requested re-attempt,Customer Availability,0,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 110914959035. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",1A6E0D7A9A,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
BB37531C4D,AWB7549259881,101814706084,Carrier B,National,Muzaffarpur,Customer requested re-attempt,Customer Availability,0,P3 - Standard,Manual Agent Call,True,Confirm the requested reattempt date/slot,"Hello, this is [Carrier] calling about your order 101814706084. We attempted delivery but couldn't complete it (customer requested re-attempt). Confirm the requested reattempt date/slot so we can schedule the next attempt.",BB37531C4D,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
